Priorità,ISBN,Titolo,Sottotitolo,Autore,Formato,Pagine,Editore,Data di edizione,Nota privata
"Medio","[9780385481960]","Youth in Revolt","The Journals of Nick Twisp","","Paperback","498","Bantam Doubleday Dell Publishing Group Inc","[1996-12-31]",""
"Medio","[9788804544548]","Me parlare bello un giorno","","David Sedaris","Paperback","269","Mondadori (Piccola biblioteca Oscar; 411)","[2005-04-01]",""
"Medio","[9788804601401]","Ogni cosa è importante!","","Ron Currie","Paperback","347","Arnoldo Mondadori","[2010-01-01]",""
"Medio","[9788804453642]","L'amore nei giorni della rabbia","","Lawrence Ferlinghetti","Paperback","139","A. Mondadori (Piccola biblioteca Oscar, 198)","[1999-06-xx]",""
"Medio","","Acque oscure","Epix 2","Valerio Evangelisti","Tascabile economico","235","Mondadori (Epix)","[2009-06-01]",""
"Medio","[9788845913969]","Un antropologo su Marte","Sette racconti paradossali","Oliver Sacks","Paperback","445","Adelphi (Gli Adelphi, 134)","[1998-01-01]",""
"Medio","[9788806156954]","Come una bestia feroce","","Edward Bunker","Paperback","358","Einaudi (Tascabili - Stile libero noir, 922)","[2001-01-01]",""
"Medio","[9788889674000]","Salvo complicazioni","Appunti di un chirurgo americano su una scienza imperfetta","Atul Gawande","Altri","286","Fusi Orari","[2005-01-01]",""
"Medio","[9788860736116]","Mafia export","Come 'ndrangheta, cosa nostra e camorra hanno colonizzato il mondo","Francesco Forgione","Copertina rigida","368","Baldini Castoldi Dalai","[2009-01-01]",""
"Medio","[9788861593381]","La vita ai tempi del comunismo","Interviste, vent'anni dopo","Peter Molloy","Paperback","264","Bruno Mondadori","[2009-01-01]",""
"Medio","[9788873941439]","Yes, we can. Istruzioni per diventare ricchi e felici","","Tyler Cowen","Altri","","Cooper","",""
"Medio","","Vacanze a tutti i costi","","Pierre Daninos","Altri","302","Elmo","[1959-05-01]",""
"Medio","[9788860441393]","Hey Rube","Sport violenti, la dottrina di Bush e la spirale discendente dell'idiozia. Storia moderna dalla pagina dello sport","Hunter S. Thompson","Paperback","294","Fandango (Mine vaganti, 39)","[2010-02-xx]",""
"Medio","[9788824504430]","Le origini del totalitarismo","","Hannah Arendt","Altri","","","[1967-01-01]",""
"Medio","[9788817039932]","Maonomics","L'amara medicina cinese contro gli scandali della nostra economia","Loretta Napoleoni","Tascabile economico","300","Rizzoli","[2010-01-01]",""
"Medio","[9788804602163]","Cosa Nostra, istruzioni per l'uso. La vita quotidiana dei boss mafiosi osservata da vicino","","Joseph Pistone","Altri","","Mondadori","",""
"Medio","[9788862880725]","Storia della cocaina","Dai re inca ai cartelli di Cali: 500 anni di traffico","Steven B. Karch","Paperback","267","Odoya","[2010-05-01]",""
"Medio","[9788817016339]","La masseria delle allodole","","Antonia Arslan","Copertina rigida","233","BUR Biblioteca Univ. Rizzoli","[2007-01-01]",""
"Medio","[9788806179083]","Il responsabile delle risorse umane","Passione in tre atti","Abraham Yehoshua","Altri","258","Einaudi (ET)","[2005-01-01]",""
"Medio","[9788804594109]","Hunger Games","","Suzanne Collins","Copertina rigida","369","Mondadori","[2009-10-20]",""
"Medio","[9780764525148]","How to Cook Everything","Vegetarian Cooking","Mark Bittman","Paperback","144","Wiley","[2003-08-08]",""
"Medio","[9788806202248]","Trilogia criminale","Nero come il cuore - Onora il padre - Teneri assassini","Giancarlo De Cataldo","Altri","532","Einaudi","[2009-01-01]",""
"Medio","[9788825301564]","Spie","Storia degli 007 dall'antichità all'era moderna","Domenico Vecchioni","Altri","120","Olimpia","[2007-01-01]",""
"Medio","","Espiazione","","Ian McEwan","Copertina rigida","381","Mondolibri, su licenza Einaudi","[2002-01-01]",""
"Medio","[9788878876941]","Illicenziabile","Come diventare indispensabile nel proprio lavoro","Stephen Viscusi","Paperback","176","Vallardi","[2011-09-01]",""
"Medio","[9788817127196]","Isonzo 1917","","Mario Silvestri","Altri","533","BUR Biblioteca Univ. Rizzoli","[2001-01-01]",""
"Medio","[9788862202770]","Vivere alla fine dei tempi","","Slavoj Zizek","Paperback","622","Ponte alle Grazie (Saggi)","[2011-04-01]",""
"Medio","[9788862200073]","In difesa delle cause perse","Materiali per la rivoluzione globale","Slavoj Zizek","Paperback","637","Ponte alle Grazie (Saggi)","[2009-01-01]",""
"Medio","[9788876153822]","Il diario di Bobby Sands.","Storia di un ragazzo irlandese","Denis O'Hearn, Silvia Calamati, Laurence McKeown","Tascabile economico","274","Castelvecchi","[2010-04-01]",""
"Medio","[9788879051675]","Breathers","L'anonima zombie","S.G. Browne","Tascabile economico","250","Casini Editore","[2010-09-01]",""
"Medio","[9788842074410]","San Francisco-Milano","","Federico Rampini","Altri","156","Laterza","[2004-01-01]",""
"Medio","[9788889772508]","America, no we can't","Le speranze deluse e le prospettive della politica Usa","Noam Chomsky","Copertina morbida e spillati","399","Alegre","[2010-01-01]",""
"Medio","[9788854108837]","Destra estrema e criminale","Da Stefano Delle Chiaie a Mario Tuti, dai fratelli Fioravanti a Massimo Carminati: storia, avvenimenti, protagonisti e testimonianze inedite della destra eversiva italiana","Gianluca Semprini, Mario Caprara","Paperback","382","Newton & Compton","[2007-01-01]",""
"Medio","[9788804603337]","Occidente estremo","Il nostro futuro tra l'ascesa dell'impero cinese e il declino della potenza americana","Federico Rampini","Paperback","284","A. Mondadori (Strade blu)","[2010-10-01]",""
"Medio","[9788861900851]","Adesso basta","Lasciare il lavoro e cambiare vita: filosofia e strategia di chi ce l'ha fatta","Simone Perotti","Tascabile economico","208","Chiarelettere","[2009-01-01]",""
"Medio","[9788817050272]","Vandali","L'assalto alle bellezze d'Italia","Sergio Rizzo, Gian Antonio Stella","Copertina rigida","275","Rizzoli (Saggi italiani)","[2011-02-16]",""
"Medio","[9788872855157]","Distanza di sicurezza","Cronache del mondo rimosso","Slavoj Zizek","Altri","","Manifestolibri","[2008-01-01]",""
"Medio","[9788883535017]","Il cuore perverso del cristianesimo","","Slavoj Zizek","Altri","240","Meltemi","[2006-01-01]",""
"Medio","[9788878191242]","L'anima dell'uomo sotto il socialismo","","Oscar Wilde","Paperback","92","TEA","[1989-01-01]",""
"Medio","[9788807102646]","Il grande altro","Nazionalismo, godimento, cultura di massa","Slavoj Zizek","Altri","212","Feltrinelli","[1999-01-01]",""
"Medio","[9788806200794]","Tre secondi","","Anders Roslund, Börge Hellström","Paperback","657","Einaudi (Stile libero, Big)","[2010-01-01]",""
"Medio","[9788806189204]","Il primo libro di antropologia","","Marco Aime","Paperback","286","Einaudi (P.B.E. Mappe)","[2008-xx-xx]",""
"Medio","[9788861920606]","Chi ha cucinato l'ultima cena?","Storia femminile del mondo","Rosalind Miles","Copertina rigida","443","Elliot","[2009-03-01]",""
"Medio","[9788804590071]","Caldo, piatto e affollato","","Thomas L. Friedman","Tascabile economico","","","[2009-01-01]",""
"Medio","[9788820049294]","I segreti del linguaggio del corpo","","Marco Pacori","Paperback","267","Sperling & Kupfer","[2010-01-01]",""
"Medio","[9788807490941]","L'arte di non dire la verità","","Adam Soboczynski","Paperback","208","Feltrinelli","[2010-03-10]",""
"Medio","[9788806205263]","Bancarotta","L'economia globale in caduta libera","Joseph E. Stiglitz","Paperback","429","Einaudi (Passaggi)","[2010-10-xx]",""
"Medio","[9788875781279]","La fine del cibo","","Paul Roberts","Paperback","459","Codice Edizioni","[2009-01-01]",""
"Medio","[9788842094333]","La vita quotidiana in Italia ai tempi del Silvio","","Enrico Brizzi","Tascabile economico","303","Laterza (Contromano)","[2010-01-01]",""
"Medio","[9788804560524]","Zomberos","","Diego Cugia","Altri","248","Mondadori","[2006-01-01]",""
"Medio","[9788807817557]","Il condominio","","J. G. Ballard","Tascabile economico","192","Feltrinelli (Universale Economica 1755)","[2003-05-01]",""
"Medio","[9788842095187]","Il grande saccheggio","L'età del capitalismo distruttivo","Piero Bevilacqua","Paperback","217","Laterza (Anticorpi)","[2011-01-01]",""
"Medio","[9788878181731]","A quattro mani","","Paco Ignacio Taibo II","Paperback","439","TEA","[1997-01-01]",""
"Medio","","Perchè mentiamo con gli occhi e ci vergognamo con i piedi? !! SCHEDA DOPPIA !!","","Barbara Pease, Allan Pease","Copertina rigida","","Sonzogno","[2000-01-01]",""
"Medio","[9788831791656]","Un osso in gola","","Anthony Bourdain","Paperback","333","Marsilio (Farfalle)","[2007-01-01]",""
"Medio","[9788871082127]","Avventure agrodolci","Vizi e virtù del sottobosco culinario","Anthony Bourdain","Altri","295","Feltrinelli","[2006-01-01]",""
"Medio","","Gli indifferenti","","Alberto Moravia","Copertina morbida e spillati","320","Alpes","[1930-02-01]",""
"Medio","[9788806166229]","Tishomingo Blues","","Elmore Leonard","Paperback","308","Einaudi (Stile Libero)","[2003-01-01]",""
"Medio","[9788886323772]","L' azienda totale","Dispositivi totalizzanti e risorse di sopravvivenza nelle grandi aziende della distribuzione","Renato Curcio","Altri","104","Sensibili alle Foglie","[2002-01-01]",""
"Medio","[9781435720398]","Le Americhe in scala 1:1","In viaggio, da New York a Buenos Aires.","Michele Molinari","Tascabile economico","265","Lulu.com","[2008-01-01]",""
"Medio","[9788842079019]","Siam poi gente delicata","Bologna Parma, novanta chilometri","Paolo Nori","Tascabile economico","144","Laterza","[2007-09-xx]",""
"Medio","[9788865490150]","L'arte del camminare","Consigli per partire con il piede giusto","Luca Gianotti","Paperback","152","Ediciclo","[2011-01-01]",""
"Medio","[9788860739322]","Gli psicoatleti","","Enrico Brizzi","Paperback","512","Dalai (Romanzi e racconti)","[2011-01-01]",""
"Medio","[9788876155536]","Bastardi senza storia","Dagli Arditi del popolo ai combattenti rossi di Prima Linea, la storia rimossa dell'antifascismo europeo","Valerio Gentili","Paperback","256","Castelvecchi","[2011-04-xx]",""
"Medio","[9788876155734]","Le compagne di Bobby Sands. Le donne e la guerra in Irlanda del Nord","","Silvia Calamati","Altri","224","","",""
"Medio","[9788806027599]","Un anno sull'altipiano","","Emilio Lussu","Altri","251","Giulio Einaudi","",""
"Medio","[9788860881137]","Se niente importa","Perché mangiamo gli animali?","Jonathan Safran Foer","Paperback","363","Guanda","[2010-02-01]",""
"Medio","[9788876380099]","Trilobiti","I dodici racconti di un grande scrittore","Breece D'J Pancake","Paperback","192","Isbn Edizioni","[2005-02-01]",""
"Medio","[9788881125128]","La festa è finita","La scomparsa del petrolio, le nuove guerre, il futuro dell'energia","Richard Heinberg","Altri","275","Fazi","[2004-01-01]",""
"Medio","[9788888819488]","Pura vida e altri racconti raminghi","","Andrea Bizzocchi","Altri","","Terra Nuova Edizioni","[2010-01-01]",""
"Medio","[9788845924354]","2666","","Roberto Bolaño","Paperback","963","Adelphi","[2009-09-01]",""
"Medio","[9788866320289]","La gamba sinistra di Joe Strummer","","Caryl Férey","Paperback","165","Edizioni E/O (Noir)","[2011-10-01]",""
"Medio","[9788806205928]","Timira","Romanzo meticcio","Wu Ming, Antar Mohamed","Paperback","525","Einaudi (Stile libero Big)","[2012-05-xx]",""
"Medio","[9788875782610]","L'ingenuità della rete","Il lato oscuro della libertà di internet","Evgeny Morozov","Paperback","384","Codice Edizioni","[2011-10-01]",""
"Medio","","Le scarpe dei suicidi","Sole Silvano Baleno e gli altri - Torino 1998: due suicidi di Stato","Tobia Imperato","Paperback","194","Autoriproduzioni Fenix!","[2003-12-01]",""
"Medio","[9788861190016]","Elogio della Semplicità","Vivere semplicemente nella società dei consumi","John Lane","Altri","147","Il libraio delle stelle","[2006-09-01]",""
"Medio","[9781846145711]","The Righteous Mind","Why Good People are Divided by Politics and Religion","Jonathan Haidt","eBook","448","Penguin Books Ltd","[2012-03-29]",""
"Medio","[9788855801553]","Ritornano le tigri della Malesia","(più antimperialiste che mai)","Paco Ignacio Taibo II","Paperback","352","Tropea (Fuorionda. Iperfiction)","[2011-01-01]",""
"Medio","[9788820031015]","On Writing","Autobiografia di un mestiere","Stephen King","Copertina rigida","320","Sperling & Kupfer","[2001-01-01]",""
"Medio","[9788854505353]","Birra e cazzotti","","Brendan O'Carroll","Paperback","190","Neri Pozza","[2011-06-xx]",""
"Medio","[9788858500293]","Terroni","","Pino Aprile","eBook","160","Piemme","[2010-01-01]",""
"Medio","[9788860090188]","Terroni","","Giancarlo De Cataldo","Altri","137","Sartorio","[2006-01-01]",""
"Medio","[9788874248605]","Il giorno in cui l'euro morì","","Stefano Feltri","Paperback","142","Aliberti","[2011-01-01]",""
"Medio","[9788874248131]","Il candidato","Tutti conoscono Montezemolo, nessuno sa chi è davvero","Stefano Feltri","Paperback","187","Aliberti Editore","[2011-07-01]",""
"Medio","[9788862201377]","Io ti fotto","L'Italia è un paese fondato sulla fregatura: ecco tutti i modi in cui gli italiani raggirano gli altri (e sé stessi)","Carlo Tecce, Marco Morello","Copertina morbida e spillati","222","Ponte alle grazie","[2010-11-01]",""
"Medio","[9788807700910]","Elvis, Gesù e Coca-Cola","","Kinky Friedman","Altri","212","Feltrinelli","[1997-01-01]",""
"Medio","[9788860886590]","La macchina della morte","Notizie da un mondo in cui le persone sanno di che morte morire","","Paperback","549","Guanda (Narratori della Fenice)","[2012-01-26]",""
"Medio","[9788876419447]","Dopo il crash","","Fay Weldon","Paperback","288","e/o","[2011-01-19]",""
"Medio","[9788804612865]","Dannazione","","Chuck Palahniuk","Paperback","252","Mondadori (Strade blu - Dark)","[2011-10-11]",""
"Medio","[9788875212193]","Via da Las Vegas","","John O'Brien","Copertina morbida e spillati","233","Minimum Fax","[2009-xx-xx]",""
"Medio","[9788806207533]","HHhH","Il cervello di Himmler si chiama Heydrich","Laurent Binet","Copertina rigida","337","Einaudi (Frontiere)","[2011-05-01]",""
"Medio","[9788881123506]","Full of life","","John Fante","Paperback","151","Fazi (Tascabili)","[2002-xx-xx]",""
"Medio","[9788806154943]","Trilogia della città di K","Il grande quaderno - La prova - La terza menzogna","Agota Kristof","Paperback","379","Einaudi","[2000-01-01]",""
"Medio","[9788806206000]","L'aspra stagione","","Tommaso De Lorenzis, Mauro Favale","Paperback","272","Einaudi (Stile Libero Extra)","[2012-03-01]",""
"Medio","[9788895029450]","'Ndranghetown","","Paola Bottero","Paperback","178","Agenzia X","[2011-01-25]",""
"Medio","[9788895029009]","Blitzkrieg punk","Sopravvivere ai Ramones","Veronica Kofman, Dee Dee Ramone","Altri","186","Agenzia X","[2006-01-01]",""
"Medio","[9788895029160]","Anarchy in the EU","Movimenti pink, black, green in Europa e grande recessione","Alex Foti","Tascabile economico","240","Agenzia X","[2009-05-01]",""
"Medio","[9788895029412]","Crass bomb","L'azione diretta nel punk","","Paperback","128","Agenzia X","[2010-11-01]",""
"Medio","[9788895029054]","Contro il '68","La generazione infinita","Alessandro Bertante","Altri","94","Agenzia X","[2007-03-01]",""
"Medio","[9788895029351]","Quello che brucia non ritorna","Romanzo hardcore","Matteo Di Giulio","Paperback","224","Agenzia X","[2010-04-07]",""
